sku,invoice_number,invoice_date_parsed,item_number,item_title,category,qty,bid_amount,msrp,bid_to_msrp_ratio,discount_pct,line_cost,projected_sale_price_per_unit,projected_revenue,projected_profit
SKU0216,090624-3501-188248,2024-09-06,305,Valve Cover - Compatible with 2012 - 2017 Hyundai Accent,Miscellaneous,1.0,1.0,99.95,0.010005002501250625,0.9899949974987494,1.0,69.965,69.965,68.965
SKU0217,090624-3501-188248,2024-09-06,308,A-Premium A/C Compressor for Hyundai Accent,Automotive,1.0,2.0,224.99,0.008889283968176363,0.9911107160318237,2.0,157.493,157.493,155.493
SKU0218,090624-3501-188248,2024-09-06,340,Window Deflectors,Automotive,1.0,1.0,,,,1.0,1.5,1.5,0.5
SKU0219,090624-3501-188248,2024-09-06,341,Flexible Side Window Deflectors,Automotive,1.0,1.0,,,,1.0,1.5,1.5,0.5
SKU0220,090624-3501-188248,2024-09-06,344,Art3D 3D Wall Panels 12 Tiles,Home Decor,1.0,4.0,,,,4.0,6.0,6.0,2.0
SKU0219,090624-3501-188248,2024-09-06,366,Flexible Side Window Deflectors,Automotive,1.0,1.0,,,,1.0,1.5,1.5,0.5
SKU0221,090624-3501-188248,2024-09-06,395,Bamboo Partition Black 4 Panel,Miscellaneous,1.0,4.0,,,,4.0,6.0,6.0,2.0
SKU0222,090624-3501-188248,2024-09-06,401,"Room Divider, 4 Panel Folding Privacy Screens with Wider",Miscellaneous,1.0,4.0,60.99,0.06558452205279554,0.9344154779472045,4.0,42.693,42.693,38.693
SKU0223,090624-3501-188248,2024-09-06,413,"1 Inch Curtain Rods (72"" to 144"")",Bedding & Textiles,1.0,2.0,,,,2.0,3.0,3.0,1.0
SKU0224,090624-3501-188248,2024-09-06,416,"Anmytek Rattan Cabinet, 2 Door Sideboard Buffet Cabinet",Furniture,1.0,25.2,126.99,0.19844082211197733,0.8015591778880227,25.2,88.89299999999999,88.89299999999999,63.692999999999984
SKU0225,090624-3501-188248,2024-09-06,427,"PULUZ Portable Photo Studio Light Box, 16x16 inch",Lighting & Electrical,1.0,10.0,99.99,0.10001000100010002,0.8999899989999,10.0,69.993,69.993,59.992999999999995
SKU0226,090624-3501-188248,2024-09-06,437,"AVSIILE Linear Shower Floor Drain, Bathroom Drains Kit,",Miscellaneous,1.0,1.0,49.99,0.020004000800160033,0.9799959991998399,1.0,34.993,34.993,33.993
SKU0227,090624-3501-188248,2024-09-06,438,Yutianli 7mm Thick Anti-Collision self Adhesive 3D Wall,Miscellaneous,1.0,15.0,66.49,0.2255978342607911,0.7744021657392088,15.0,46.54299999999999,46.54299999999999,31.542999999999992
SKU0228,090624-3501-188248,2024-09-06,472,Replacement Clutch Part,Miscellaneous,1.0,1.0,,,,1.0,1.5,1.5,0.5
SKU0229,090624-3501-188248,2024-09-06,479,"Baboni Pet Door for Wall, Steel Frame and Telescoping",Pet Supplies,1.0,3.0,143.99,0.02083478019306896,0.979165219806931,3.0,100.793,100.793,97.793
SKU0230,090624-3501-188248,2024-09-06,487,"Madane Washable Runner Rug 2x6, Ultra-Thin Non-Slip",Bedding & Textiles,1.0,10.0,35.99,0.2778549597110308,0.7221450402889692,10.0,25.193,25.193,15.193000000000001
SKU0231,090624-3501-188248,2024-09-06,502,FITUEYES Floor TV Stand Iron Base with Swivel Mount for,Electronics & Small Appliances,1.0,21.0,,,,21.0,31.5,31.5,10.5
SKU0232,090624-3501-188248,2024-09-06,548,Jardin Runner 2'x7',Bedding & Textiles,1.0,10.0,,,,10.0,15.0,15.0,5.0
SKU0233,090624-3501-188248,2024-09-06,572,JONSBO/JONSPLUS Z20 Orange/Black Micro-ATX Mini,Miscellaneous,1.0,6.0,105.0,0.05714285714285714,0.9428571428571428,6.0,73.5,73.5,67.5
SKU0234,090624-3501-188248,2024-09-06,583,Office Chair,Furniture,1.0,16.0,,,,16.0,24.0,24.0,8.0
SKU0235,090624-3501-188248,2024-09-06,587,Room Divider Portable Partition Room Dividers and Folding,Furniture,1.0,8.0,159.99,0.0500031251953247,0.9499968748046753,8.0,111.993,111.993,103.993
SKU0236,090624-3501-188248,2024-09-06,601,Aodk Basic Desk with Drawers and Outlets,Furniture,1.0,14.0,,,,14.0,21.0,21.0,7.0
SKU0237,090624-3501-188248,2024-09-06,604,Weize Floor Mats for Tesla Model Y 5-Seat 2021-2023 2022,Automotive,1.0,2.0,139.99,0.014286734766769053,0.985713265233231,2.0,97.993,97.993,95.993
